system:index,MNDWI,NDBI,NDVI_norm,elevation,land_cover,slope,.geo
2_15_0,0.19331789,0.026782915,-0.13371672,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.6108040251346,25.06043622837491]}"
2_16_0,0.0853174,0.03841198,-0.030709757,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.51998434991012,24.988481174116938]}"
2_17_0,0.20502496,-0.034860335,-0.13376512,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.71132550542757,24.762914206274527]}"
2_18_0,0.037620842,0.009666577,-0.0018586246,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.80457063191918,24.499348501913857]}"
2_19_0,0.1767347,0.033199936,-0.1024254,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.66820637178984,25.109753737473074]}"
2_20_0,-0.19307996,-0.006178109,0.18686533,3,water,1.3757554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.72560871844507,24.150892003203897]}"
2_21_0,0.0973633,0.035004027,-0.03670491,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.69380835738724,25.116221607518735]}"
2_22_0,0.07373718,0.021776259,-0.04001676,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.70620510830808,24.554325397301973]}"
2_23_0,0.14192086,-0.039097704,-0.09086617,5,water,1.3820797,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.47956016212473,25.195453015578074]}"
2_24_0,0.16962534,0.027620781,-0.08684179,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.68329806856305,25.127809874683877]}"
2_25_0,0.040898778,0.018034425,-0.023541095,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.70728308664903,25.03240879151038]}"
2_26_0,0.11529509,0.043117642,-0.07324276,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.52510474702959,25.106519802450244]}"
2_27_0,0.056445993,0.031357117,-0.048569113,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.60757009011176,24.819777563759292]}"
2_28_0,-0.21460494,-0.1713041,0.3938314,127,water,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.75453904487557,24.028541461506816]}"
2_29_0,0.159949,0.043607563,-0.08921315,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.67979463895497,25.11110121039925]}"
2_30_0,0.2026986,0.033574633,-0.151428,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.61026503596412,25.225366914539254]}"
2_31_0,0.03201496,0.023354823,-0.022046285,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.72668669678602,24.394245613671874]}"
2_32_0,0.09286485,0.029550474,-0.0369383,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.52618272537053,24.983630271582694]}"
2_33_0,0.20824537,0.0030351293,-0.11070605,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.60810907928224,25.089272148995146]}"
2_34_0,0.2201675,-0.08008625,-0.10093505,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.85038471140928,22.63633243417838]}"
2_35_0,0.084480025,0.028255643,-0.031189691,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.6536536641871,24.742163123211366]}"
2_36_0,0.19949052,0.042175084,-0.13683142,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.66658940427841,25.20057341269756]}"
2_37_0,0.15176016,-0.0160487,-0.09179901,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.42323579381043,25.34259705911685]}"
2_38_0,0.121825606,-0.018403405,-0.08175267,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.43132063136751,25.299477925479117]}"
2_39_0,0.090572156,0.030142019,-0.048400592,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.6191583572769,25.003033881719674]}"
2_40_0,0.25182858,-0.070468865,-0.13869825,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.60460564967417,25.259862221449445]}"
2_41_0,0.22408646,-0.03163539,-0.1633634,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.59894626338422,25.166886589543076]}"
2_42_0,9.862778E-4,-0.03741349,0.03204061,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.59113092041238,24.85642882735137]}"
2_43_0,0.13266444,0.026022065,-0.06822168,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.68814897109729,25.12754038009864]}"
2_44_0,0.071915425,0.036282305,-0.028861204,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.66631990969319,24.68314380904471]}"
2_45_0,-0.15393557,-0.0045058657,0.13348112,6,water,1.3829896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.49303489138653,25.340710597020202]}"
2_46_0,0.047995284,0.05522515,-0.018468224,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.55474915140555,24.84969146272047]}"
2_47_0,0.24800742,-0.06582621,-0.141612,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.54989824887129,25.250160416380954]}"
2_48_0,0.25816524,-0.031626552,-0.20384827,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.64260438619243,25.232643268340624]}"
2_49_0,0.20263624,-0.044413663,-0.12716435,2,water,1.383259,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.48953146177845,25.383560236072704]}"
2_50_0,0.2197703,0.006502119,-0.157606,1,water,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.65230619126092,25.26201817813133]}"
2_51_0,-0.23193794,-0.08128093,0.32244185,133,water,2.959117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.81005492943416,23.940686226719926]}"
2_52_0,0.07093146,0.026038399,-0.037154198,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.63209409736822,24.76776510880877]}"
2_53_0,-0.043412887,-0.026755853,0.05478794,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.61026503596412,24.77692792470679]}"
2_54_0,0.21555123,-0.10835035,-0.1178436,126,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.77151720374543,23.85983785114917]}"
2_55_0,-0.18735011,0.079387225,0.08103495,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.73989193146257,23.83720030598936]}"
2_56_0,0.0048147496,0.05459976,-0.014592386,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.70324066787049,24.131218898481677]}"
2_57_0,0.1409334,0.03153737,-0.06927639,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.68060312271068,25.043997058675522]}"
2_58_0,0.09041412,0.03352601,-0.054443188,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.70324066787049,24.52468099292603]}"
2_59_0,0.16327368,-0.04040226,-0.10238977,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.70458814079667,24.669130090612448]}"
2_60_0,0.17191544,0.059992783,-0.13207547,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.61592442225408,24.86882557827222]}"
